Supplier;Product;Company
Airbus Atlantic Colomiers (Toulouse) (was STELIA Aerospace Toulouse);Professional Services;Airbus
Airbus China Innovation Centre (ACIC);Professional Services;Airbus
Airbus Group Innovations;Professional Services;Airbus
Airbus India;Personnel & Training;Airbus
Airbus New Zealand Limited;Professional Services;Airbus
Airbus Ventures;Professional Services;Airbus
Airbus China Innovation Centre (ACIC);Design;Airbus
Airbus Defence & Space (Cassidian);Design;Airbus
Airbus Group Corporate Research Centre;Design;Airbus
Airbus Group Innovations;Design;Airbus
Airbus India;Design, Design Software;Airbus
Airbus - Illescas;Composites;Airbus
Airbus Atlantic - Nantes;Composites;Airbus
Airbus Atlantic Colomiers (Toulouse) (was STELIA Aerospace Toulouse);Non-metal Materials, Plastics;Airbus
Airbus Group Australia Pacific;Composites;Airbus
Harbin Hafei Airbus Composite Manufacturing Centre;Composites;Airbus
Airbus Atlantic Colomiers (Toulouse) (was STELIA Aerospace Toulouse);Non-Mechanical Components;Airbus
Airbus Atlantic Merginac (Bordeaux) (was Stelia Aerospace);Structural Components;Airbus
Airbus Defence & Space (Structures);Structural Components;Airbus
Airbus Defence & Space Manching;Structural Components;Airbus
Airbus Defence & Space Netherlands B.V.;Electrical Components;Airbus
Airbus Deutschland GmbH;Structural Components;Airbus
Airbus New Zealand Limited;Structural Components;Airbus
Airbus S.A.S.;Non-Mechanical Components;Airbus
Belairbus;Structural Components;Airbus
Airbus Atlantic - Nantes;Airframe Assemblies;Airbus
Airbus Atlantic Colomiers (Toulouse) (was STELIA Aerospace Toulouse);Airframe Assemblies, Cabin Interiors, Crew Seating, Fluid Power;Airbus
Airbus Atlantic Merginac (Bordeaux) (was Stelia Aerospace);Airframe Assemblies, Cabin Interiors, Crew Seating;Airbus
Airbus Corporate Helicopters;Cabin Interiors;Airbus
Airbus Defence & Space (Structures);Airframe Assemblies;Airbus
Airbus Defence & Space Manching;Airframe Assemblies, Weapons Systems;Airbus
Airbus Deutschland GmbH;Airframe Assemblies, Cabin Interiors;Airbus
Airbus Filton;Airframe Assemblies, Landing Assemblies;Airbus
Airbus Helicopters;Airframe Assemblies, Cabin Interiors;Airbus
Airbus Helicopters;Cabin Interiors;Airbus
Airbus Helicopters Canada;Airframe Assemblies;Airbus
Airbus Helicopters Deutschland GmbH;Airframe Assemblies;Airbus
Airbus Helicopters Espana;Airframe Assemblies;Airbus
Airbus S.A.S.;Airframe Assemblies;Airbus
Airbus UK;Airframe Assemblies;Airbus
Airbus UpNext;Airframe Assemblies;Airbus
Airbus Widebody Completion & Delivery Centre (C&DC);Cabin Interiors;Airbus
Harbin Hafei Airbus Composite Manufacturing Centre;Airframe Assemblies;Airbus
Airbus Defence & Space;Communications (Airborne);Airbus
Airbus Defence & Space (Structures);Communications (Airborne);Airbus
Airbus Defence & Space Netherlands B.V.;Avionic Components;Airbus
Airbus Group SE;Avionic Components, Communications (Airborne), Warning Systems;Airbus
Airbus Helicopters;Flight and Data Management, Indicators and Instruments;Airbus
Airbus Helicopters;Communications (Airborne);Airbus
Airbus S.A.S.;Landing Guidance Systems;Airbus
Airbus UpNext;Flight and Data Management;Airbus
Airbus Atlantic - Nantes;Engine Components, Fuel Systems;Airbus
Airbus Atlantic Colomiers (Toulouse) (was STELIA Aerospace Toulouse);Fuel Systems;Airbus
Airbus Defence & Space (Structures);Engine Components;Airbus
Airbus Group Innovations;Batteries & Accessories;Airbus
Airbus Helicopters;Electrical Power Systems, Power Transmission, Rotors & Propellers;Airbus
Airbus Helicopters - Paris-Le Bourget;Rotors & Propellers;Airbus
Airbus Helicopters Canada;Engine Components, Rotors & Propellers;Airbus
Airbus Helicopters Deutschland GmbH;Fuel Systems, Rotors & Propellers;Airbus
Airbus New Zealand Limited;Rotors & Propellers;Airbus
Airbus S.A.S.;Batteries & Accessories;Airbus
Airbus S.A.S.;Engine Components;Airbus
Airbus UpNext;Fuel Systems;Airbus
Airbus Atlantic Colomiers (Toulouse) (was STELIA Aerospace Toulouse);Surface Treatment;Airbus
Airbus Canada;Manufacturing Services;Airbus
Airbus China Innovation Centre (ACIC);Technical Consultants;Airbus
Airbus Defence & Space, San Pablo;Manufacturing Services;Airbus
Airbus Deutschland GmbH;Manufacturing Services;Airbus
Airbus Final Assembly Line China;Manufacturing Services;Airbus
Airbus Group Australia Pacific;Manufacturing Services;Airbus
Airbus Group Corporate Research Centre;Technical Consultants;Airbus
Airbus Group Innovations;Technical Consultants;Airbus
Airbus Helicopters Canada;Manufacturing Services;Airbus
Airbus Helicopters Deutschland GmbH;Manufacturing Services, Metal Processes;Airbus
Airbus Helicopters Espana;Manufacturing Services;Airbus
Airbus Helicopters Inc.;Manufacturing Services;Airbus
Airbus Helicopters Inc.;Manufacturing Services;Airbus
Airbus India;Computer Integrated Manufacturing, Technical Consultants;Airbus
Airbus New Zealand Limited;"Heat Treatment, Machining, Manufacturing Services, Production Equipment, Surface Treatment, Technical Consultants""";Airbus
Airbus U.S. Manufacturing Facility;Manufacturing Services;Airbus
Airbus Widebody Completion & Delivery Centre (C&DC);Surface Treatment;Airbus
Airbus Americas Test & Services;Test Equipment;Airbus
Airbus E-Aircraft Systems (EAS) House;Test Equipment,Test Services;Airbus
Airbus Filton;Test Services;Airbus
Airbus Group Corporate Research Centre;Test Equipment,Test Services;Airbus
Airbus Helicopters;Test Services;Airbus
Airbus New Zealand Limited;Non-Destructive Testing;Airbus
Airbus Widebody Completion & Delivery Centre (C&DC);Aircraft Operations;Airbus
Testia, an Airbus company;Non-Destructive Testing;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;