"Bol Number","Arrival Date","Company Name","Supplier Name","Product Description","Port Of Entry","Shipping Port","Supplier Country","TEU","Weight"
"TSVCTRIST142982","20/03/2023","Hutchinson Distribution Center","Kale Baglanti Teknolojileri San Ve","Hose Clamp","New York/Newark Area, Newark, Nj","Algeciras","Turkey","1.5","1343"
"CHSL423441898HAM","27/02/2023","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5236"
"CHSL421507297HAM","14/02/2023","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","730"
"CHSL421476838HAM","14/02/2023","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","540"
"CHSL421507297HAM","14/02/2023","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","730"
"CHSL421476838HAM","14/02/2023","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","540"
"CHSL421490273HAM","14/02/2023","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","4745"
"CHSL421490273HAM","14/02/2023","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","4745"
"CHSL419669056HAM","30/01/2023","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","540"
"CHSL419676591HAM","30/01/2023","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1652"
"CHSL419669056HAM","30/01/2023","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","540"
"CHSL419676591HAM","30/01/2023","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1652"
"SHPT32605344","23/01/2023","Ife Americas Inc","Kale Baglanti Teknolojileri San Ve Sistanbul Anadolu Yakasi Osb","Hose Clamp Tarif Gtip","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1.5","399"
"CHSL418497536HAM","16/01/2023","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","683"
"CHSL418498728HAM","16/01/2023","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5669"
"MEDUI6811182","08/01/2023","Hutchinson Autopartes Mexico S A","Kale Baglanti Teknolojileri San Ve","Hose Clamp Hose Clamp","Miami, Fl","Sines","Turkey","1.5","8993"
"SHPT32603732","10/11/2022","Ife Americas Inc","Kale Baglanti Teknolojileri San Ve","Hose Clamp","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1","1439"
"CHSL399954501HAM","05/11/2022","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1949"
"MEDUI6793448","29/10/2022","Hutchinson Autopartes Mexico S A","Kale Baglanti Teknolojileri San Ve","Hose Clamp Hose Clamp","Miami, Fl","Sines","Turkey","1.5","8654"
"CHSL406108871HAM","10/09/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","10865"
"CHSL405491017HAM","10/09/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1805"
"CHSL405491017HAM","10/09/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1805"
"CHSL406108871HAM","10/09/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","10865"
"CHSL402827523HAM","27/08/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7564"
"CHSL402827523HAM","27/08/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7564"
"CHSL400686963HAM","12/08/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","3161"
"CHSL400680571HAM","12/08/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","10138"
"CHSL400680571HAM","12/08/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","10138"
"CHSL400686963HAM","12/08/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","3161"
"CHSL394106493HAM","12/06/2022","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","503"
"EGLV540200087284","30/05/2022","Hutchinson Fluid Mgmt System","Kale Baglanti Teknolojileri San Ve Tic As Istanbul Anadolu Yakasi Osb","Automotive Automotive Hbl Ham Pkg Ryan Mungwira","Houston, Tx","Bremerhaven","Germany","1.5","372"
"CHSL392831029HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","8464"
"CHSL396424631HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","7496"
"EGLV540200087292","30/05/2022","Hutchinson Autopartes Mexico","Kale Baglanti Teknolojileri San Ve Tic As Istanbul Anadolu Yakasi Osb","Automotive Automotive Pkg Tariff Murat Ozturk Celaya Gua Joseluis Galvez Jose Luis Glavez Ryan Mungwira","Houston, Tx","Bremerhaven","Germany","1.5","8712"
"CHSL391337257HAM","30/05/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","2036"
"CHSL395709003HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","6101"
"CHSL391337257HAM","30/05/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","2036"
"CHSL391337257HAM","30/05/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","2036"
"CHSL392831029HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","8464"
"CHSL396424631HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","7496"
"CHSL395709003HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","6101"
"CHSL395709003HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","6101"
"CHSL396424631HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","7496"
"CHSL392831029HAM","30/05/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","8464"
"CHSL392106662HAM","28/04/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","2089"
"CHSL392106662HAM","28/04/2022","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","2089"
"CHSL389157641HAM","26/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1827"
"CHSL382998933HAM","26/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Pallet Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","278"
"CHSL382998933HAM","26/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Pallet Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","278"
"CHSL382998933HAM","26/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Pallet Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","278"
"CHSL389157641HAM","26/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1827"
"CHSL389157641HAM","26/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1827"
"CHSL382869568HAM","12/03/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7363"
"CHSL379413612HAM","30/01/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7026"
"CHSL379413612HAM","30/01/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7026"
"CHSL377169341HAM","18/01/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","6537"
"CHSL377169341HAM","18/01/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","6537"
"CHSL377169341HAM","18/01/2022","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","6537"
"CHSL373779488HAM","20/12/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","8191"
"CHSL375545216HAM","11/12/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","2706"
"CHSL375545216HAM","11/12/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","2706"
"CHSL372972640HAM","09/12/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","9665"
"CHSL370722303HAM","22/11/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7451"
"CHSL370722303HAM","22/11/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Cautomotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7451"
"CHSL369636146HAM","11/11/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Cautomotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","10581"
"CHSL369636146HAM","11/11/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","10581"
"CHSL367453628HAM","26/10/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5029"
"CHSL366474309HAM","05/10/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","3913"
"CHSL364352306HAM","21/09/2021","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","109"
"CHSL364353751HAM","21/09/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","4500"
"CHSL364642925HAM","21/09/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1436"
"CHSL364642925HAM","21/09/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","1436"
"CHSL364352306HAM","21/09/2021","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","109"
"CHSL364353751HAM","21/09/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","4500"
"CHSL360991289HAM","30/08/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","9372"
"CHSL360991289HAM","30/08/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","9372"
"CHSL362135825HAM","23/08/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","7844"
"MDNLOMG2102310","13/08/2021","Haven Manufacturing Corparation","Kale Baglanti Teknolojileri San Ve","Pipe","New York/Newark Area, Newark, Nj","Istanbul","Turkey","1.5","280"
"CHSL358948386HAM","23/07/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5839"
"CHSL358951050HAM","23/07/2021","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","820"
"CHSL358951050HAM","23/07/2021","Hutchinson Fluid Mgmt System Inter","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","820"
"CHSL358948386HAM","23/07/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5839"
"CHSL357046336HAM","14/07/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","870"
"CHSL358333787HAM","27/06/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5939"
"CHSL358333787HAM","27/06/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5939"
"CHSL358333787HAM","27/06/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Cautomotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5939"
"CHSL355404990HAM","25/06/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","4576"
"CHSL355552462HAM","25/06/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","4000"
"CHSL356255283HAM","25/06/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","5939"
"CHSL352798743HAM","20/05/2021","Hutchinson Autopartes Mexico Hfms","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1","7875"
"CHSL351937829HAM","08/05/2021","Hutchinson Trans De Fluidos Mx Sa D","Kale Baglanti Teknolojileri San Ve","Automotive Hbl Ham","Houston, Tx","Bremerhaven","Turkey","1.5","176"
