Region,Maker,Brand,Model,Model year,Supplier,Products,Component category
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor rotor,Motor Core
China,Tesla China,Tesla,Model 3 (4WD) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor stator,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor rotor,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor stator,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model 3 (USA),2023,Panasonic Energy of North America (PENA),NCA battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model S (USA),2023,"Panasonic Energy Co., Ltd. - Suminoe plant",Lithium-ion battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model X (USA),2023,SPAL Automotive USA,Electric drive fan,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model X (USA),2023,"Panasonic Energy Co., Ltd. - Suminoe plant",Lithium-ion battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor rotor,Motor Core
China,Tesla China,Tesla,Model Y (4WD) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor stator,Traction Motor / E-Axle
Europe,Tesla,Tesla,Model Y (Germany),2023,"Shenzhen BYD Lithium Battery Co., Ltd.",Lithium iron phosphate battery cell (Blade),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model Y (RR) (China),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor rotor,Motor Core
China,Tesla China,Tesla,Model Y (RR) (China),2023,"Wuxi Longsheng Technology Co., Ltd.",Motor stator,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model Y (USA),2023,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model Y (USA),2023,Panasonic Energy of North America (PENA),NCA battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (4WD) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen XFH Technology Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Xusheng Auto Technology Co., Ltd.",Automatic transmission housing,Automatic Transmission (AT)
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Texas Instruments Inc.,Battery management chip,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"BizLink Technology (Changzhou) Co., Ltd.",Battery management system (BMS),Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Hangzhou Yazaki Parts Co., Ltd.",Battery management system (BMS),Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,Battery management system (BMS),Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,TE Connectivity China,BMS connector,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Ningbo Joyson Electronic Corporation,BMS sensor,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Suzhou Anjie Technology Co., Ltd.",BMS sensor assembly,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Deren Electronic Co., Ltd.",Plastic for BMS connector,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Deren Electronic Co., Ltd.",Plating material for BMS connector,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Lithium-ion battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Xusheng Auto Technology Co., Ltd.",Lithium-ion battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Superior Die Technology Co., Ltd.",Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Xusheng Auto Technology Co., Ltd.",Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"CATL (Contemporary Amperex Technology Co., Ltd.)",Lithium iron phosphate battery cell (Prismatic),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Jiangsu Alcha Aluminum Group Co., Ltd.",Aluminum for battery cooling system,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Battery cooling chiller,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Battery thermal management component,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",BMS radiator,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Kinwong Electronic Co., Ltd.",Calendered copper foil for BMS radiator,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Chaohua Technology Co., Ltd.",Calendered copper foil for BMS radiator,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Xinjiang Tianye Co., Ltd.",Ethylene Glycol for battery coolant,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Yinlun Heat Exchange System Co., Ltd.",Lithium-ion battery heat exchanger,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Kinwong Electronic Co., Ltd.",Polyester film for BMS radiator,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Chaohua Technology Co., Ltd.",Polyester film for BMS radiator,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Lithium-ion battery pack,EV / PHEV / HEV Battery Pack/System
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Dana (Wuxi) Technology Co., Ltd.",Battery coolant pump,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Hongtu Technology (Holdings) Co., Ltd.",lithium-ion battery cell mount,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Texas Instruments Semiconductor Technologies (Shanghai) Co., Ltd.",Chip processor for ASIC,HV/EV ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Texas Instruments Semiconductor Technologies (Shanghai) Co., Ltd.",Silicon wafer for ASIC,HV/EV ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,IGBT,Inverter
China,Tesla China,Tesla,Model 3 (RR) (China),2022,STMicroelectronics N.V.,SiC module for inverter,Inverter
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Wuxi Longsheng Technology Co., Ltd.",Copper rotor,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Taixin Motor (Tianjin) Co., Ltd.",Motor core,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Hengdian Group DMEGC Magnetics Co., Ltd.",Soft magnetic materials for motor magnetic tile,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Wuxi Hota Precision Gear Co., Ltd.",Reduction gear box,Reduction Gear for EV
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Xuanhua Construction Machinery Development Co., Ltd.",Motor housing,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"NBTM New Materials Group Co., Ltd. (NBTM)",Motor housing,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Hengdian Group DMEGC Magnetics Co., Ltd.",Motor magnetic tile,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Beijing Zhongke Sanhuan Hi-tech Co., Ltd.",Permanent magnet for traction motor,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Fukuta Elec. & Mach. Co., Ltd.",Traction motor,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,Traction motor controller,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2022,"Shenzhen XFH Technology Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model 3 (USA),2022,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model 3 (USA),2022,MAHLE Behr USA Inc.,Cooling fan motor,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model 3 (USA),2022,G-TEKT Corporation,Battery housing,EV / PHEV / HEV Battery Case
Americas,Tesla,Tesla,Model 3 (USA),2022,Panasonic Energy of North America (PENA),NCA battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model S (USA),2022,"Shenzhen XFH Technology Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model S (USA),2022,Infineon Technologies AG,IGBT,Inverter
Americas,Tesla,Tesla,Model S (USA),2022,Euro Group S.p.A.,Motor core,Motor Core
Americas,Tesla,Tesla,Model S (USA),2022,Aptiv PLC (Formerly Delphi Automotive PLC),Charging cable,On-board Charger
Americas,Tesla,Tesla,Model S (USA),2022,Tesla,Traction motor,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model X (USA),2022,"Shenzhen XFH Technology Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Ningbo Xusheng Auto Technology Co., Ltd.",Automatic transmission housing,Automatic Transmission (AT)
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"CATL (Contemporary Amperex Technology Co., Ltd.)",Lithium iron phosphate battery cell (Prismatic),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (4WD) (China),2022,Tesla,Lithium iron phosphate battery pack,EV / PHEV / HEV Battery Pack/System
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Lithium-ion battery pack,EV / PHEV / HEV Battery Pack/System
China,Tesla China,Tesla,Model Y (4WD) (China),2022,Tesla,Ternary lithium-ion battery pack,EV / PHEV / HEV Battery Pack/System
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Taixin Motor (Tianjin) Co., Ltd.",Motor core,Motor Core
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Hengdian Group DMEGC Magnetics Co., Ltd.",Soft magnetic materials for motor magnetic tile,Motor Core
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Xuanhua Construction Machinery Development Co., Ltd.",Motor housing,Traction Motor / E-Axle
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"NBTM New Materials Group Co., Ltd. (NBTM)",Motor housing,Traction Motor / E-Axle
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Hengdian Group DMEGC Magnetics Co., Ltd.",Motor magnetic tile,Traction Motor / E-Axle
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Beijing Zhongke Sanhuan Hi-tech Co., Ltd.",Permanent magnet for traction motor,Traction Motor / E-Axle
China,Tesla China,Tesla,Model Y (4WD) (China),2022,Tesla,Traction motor controller,Traction Motor / E-Axle
Europe,Tesla,Tesla,Model Y (Germany),2022,"Shenzhen BYD Lithium Battery Co., Ltd.",Lithium iron phosphate battery cell (Blade),EV / PHEV / HEV Battery Cell/Module
Europe,Tesla,Tesla,Model Y (Germany),2022,Fraenkische Industrial Pipes Mexico S.A. de C.V.,Battery temperature control system,EV / PHEV / HEV Battery Cooling/Heating System
Europe,Tesla,Tesla,Model Y (Germany),2022,"Shenzhen BYD Lithium Battery Co., Ltd.",Lithium iron phosphate battery pack,EV / PHEV / HEV Battery Pack/System
Europe,Tesla,Tesla,Model Y (Germany),2022,Euro Group S.p.A.,Motor core,Motor Core
China,Tesla China,Tesla,Model Y (RR) (China),2022,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Lithium-ion battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Ningbo Xusheng Auto Technology Co., Ltd.",Lithium-ion battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Ningbo Xusheng Auto Technology Co., Ltd.",Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Shanghai Superior Die Technology Co., Ltd.",Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Battery cooling chiller,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Battery electric drive fan,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Jiangsu Langxin Electric Co., Ltd.",Electric water pump,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Shanghai Yinlun Heat Exchange System Co., Ltd.",Lithium-ion battery heat exchanger,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model Y (RR) (China),2022,Mory Industries Inc.,lithium-ion battery cell mount,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model Y (RR) (China),2022,Tesla,IGBT,Inverter
Americas,Tesla,Tesla,Model Y (USA),2022,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model Y (USA),2022,"Shenzhen Dynanonic Co., Ltd.",Cathode material (lithium manganese iron phosphate) for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
Americas,Tesla,Tesla,Model Y (USA),2022,MAHLE Behr USA Inc.,Cooling fan motor,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model Y (USA),2022,Panasonic Energy of North America (PENA),NCA battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Qingdao Zhongshuo New Energy Technology Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Shanshan Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Putailai New Energy Technology Co., Ltd. (Formerly Shanghai Putailai New material Technology Co., Ltd.)",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
