Region,Maker,Brand,Model,Model year,Supplier,Products,Component category
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Xusheng Auto Technology Co., Ltd.",Transmission housing,Automatic Transmission (AT)
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Tesla,Battery management system (BMS),Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Suzhou Anjie Technology Co., Ltd.",BMS sensor assembly,Battery Control ECU
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Shanshan Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Beijing Easpring Material Technology Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Posco-Huayou New Energy Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Hunan Brunp Recycling Technology Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Ronbay New Energy Technology Co., Ltd. (Formerly Ningbo Jinhe Lithium Battery Co., Ltd.)",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Tesla,DC-DC converter,DC-DC Converter
China,Tesla China,Tesla,Model 3 (RR) (China),2021,HUAYU Automotive Systems Company Limited,Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Beijing WKW Automotive Parts Co., Ltd.",Lthium-ion battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shenzhen Kedali Industry Co., Ltd.",NCA battery Case,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shenzhen Kedali Industry Co., Ltd.",NCA battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"LG Energy Solution Battery (Nanjing) Co., Ltd. (Formerly Nanjing LG Chem New Energy Battery Co., Ltd.)",NCMA battery cell,EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"CATL (Contemporary Amperex Technology Co., Ltd.)",Three-dimensional lithium-ion battery cell (Prismatic),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Battery cooling system,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Anhui Zhongding Sealing Parts Co., Ltd.",Battery cooling system sealing,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Yinlun Machinery Co., Ltd.",Battery heat exchanger,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Feilong Auto Components Co., Ltd. (Formerly Henan Xixia Auto Water Pump Co., Ltd.)",Electric water pump for EV,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Water cooling block plate,EV / PHEV / HEV Battery Cooling/Heating System
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Hebei Chinaust Automotive Plastics Co., Ltd.",NCA battery pack,EV / PHEV / HEV Battery Pack/System
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Ningbo Joyson Electronic Corporation,Battery sensor,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Guangzhou Tinci Materials Technology Co., Ltd.",Electrolyte for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Jiujiang Tinci Materials Technology Co., Ltd.",Electrolyte for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shenzhen CAPCHEM Technology Co., Ltd.",Electrolyte for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Jiangsu Guotai International Group Co., Ltd. (Formerly Jiangsu Guotai International Group Guomao Co., Ltd.)",Electrolyte for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Putailai New Energy Technology Co., Ltd. (Formerly Shanghai Putailai New material Technology Co., Ltd.)",Separator for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shenzhen Senior Technology Material Co., Ltd.",Separator for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Yunnan Energy New Material Co., Ltd. (SEMCORP) (Formerly Yunnan Chuangxin New Material Co., Ltd.)",Separator for lithium-ion battery,EV / PHEV / HEV Battery Related Products
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"NBTM New Materials Group Co., Ltd. (NBTM)",Inverter cooling plate,Inverter
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"State Grid Yingda Co., Ltd. (Formerly Shanghai Zhixin Elec Co., Ltd.)",Copper rotor,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Wuxi Longsheng Technology Co., Ltd.",Motor core,Motor Core
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Far East Cable Co., Ltd.",Charging harness,On-board Charger
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Tesla,On-board charger,On-board Charger
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Reducer cooling pump,Reduction Gear for EV
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic throttle control housing,Throttle Body
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Guangdong Hongtu Technology (Holdings) Co., Ltd.",Motor bracket,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"NBTM New Materials Group Co., Ltd. (NBTM)",Motor housing,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Hengdian Group DMEGC Magnetics Co., Ltd.",Motor magnet,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"NBTM New Materials Group Co., Ltd. (NBTM)",Motor magnet,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Tesla,Traction motor,Traction Motor / E-Axle
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Tesla,Traction motor controller,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2021,MANN+HUMMEL Purolator Filters LLC,Air filter,Air Cleaner / Air Filter
Americas,Tesla,Tesla,Model 3 (USA),2021,"Exo-S Industrias, S.A. de C.V.",Air intake,Air Intake System / Module
Americas,Tesla,Tesla,Model 3 (USA),2021,MAHLE Behr USA Inc.,Cooling fan motor,Cooling Fan / Cooling Fan Motor
Americas,Tesla,Tesla,Model 3 (USA),2021,NTN Bearing Corp. of America,Front half shaft,Drive Shaft
Americas,Tesla,Tesla,Model 3 (USA),2021,NTN Bearing Corp. of America,Rear half shaft,Drive Shaft
Americas,Tesla,Tesla,Model 3 (USA),2021,CIE Nugar SA de CV,Battery case,EV / PHEV / HEV Battery Case
Americas,Tesla,Tesla,Model 3 (USA),2021,Fraenkische Industrial Pipes Mexico S.A. de C.V.,High-voltage battery cooling tube,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model 3 (USA),2021,Fraenkische Industrial Pipes Mexico S.A. de C.V.,Penthouse cooling hose,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model 3 (USA),2021,Quanta Computer Inc.,High-voltage battery pack contactor,EV / PHEV / HEV Battery Pack/System
Americas,Tesla,Tesla,Model 3 (USA),2021,Proto Labs Inc.,Flood port sensor,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model 3 (USA),2021,"BizLink Technology, Inc.",High-voltage battery flood port,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model 3 (USA),2021,"OPD Technology (Shenzhen) Co., Ltd.",High-voltage battery flood port retainer,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model 3 (USA),2021,CIE Nugar SA de CV,High-voltage battery skid plate,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model 3 (USA),2021,"Nitto, Inc.
(Formerly Nitto Americas, Inc.)",Penthouse breather plug,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model 3 (USA),2021,BMC Bil-Mac Corporation,Oil filter adapter,Oil Filter
Americas,Tesla,Tesla,Model 3 (USA),2021,Foxconn Interconnect Technology Limited,Charge port door,On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2021,Quanta Computer Inc.,Charge port ECU,On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2021,"Ningbo Schlemmer Automotive Parts Co., Ltd.",Charge port safety cap,On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Charging port bracket,On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Fast charging insulator,On-board Charger
Americas,Tesla,Tesla,Model 3 (USA),2021,Fraenkische Industrial Pipes Mexico S.A. de C.V.,Radiator hose,Radiator Hose
Americas,Tesla,Tesla,Model 3 (USA),2021,"Ningbo Tuopu Group Co., Ltd.(Formerly Ningbo Tuopu Brake System Co., Ltd.)",Front traction motor mount,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2021,Fraenkische Industrial Pipes Mexico S.A. de C.V.,Motor oil cooling tube,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2021,"BizLink Technology, Inc.",Rear traction motor ground strap,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2021,"BizLink Technology, Inc.",Traction motor ground strap,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2021,MANN+HUMMEL Purolator Filters LLC,Traction motor oil filter,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model 3 (USA),2021,"ElringKlinger, S.A.U.",Gearbox seal,Transmission Seal
Americas,Tesla,Tesla,Model S (USA),2021,MANN+HUMMEL Purolator Filters LLC,Air filter,Air Cleaner / Air Filter
Americas,Tesla,Tesla,Model S (USA),2021,Freudenberg Filtration Technologies Inc.,Air filter,Air Cleaner / Air Filter
Americas,Tesla,Tesla,Model S (USA),2021,NTN Bearing Corp. of America,Front half shaft,Drive Shaft
Americas,Tesla,Tesla,Model S (USA),2021,NTN Bearing Corp. of America,Rear half shaft,Drive Shaft
Americas,Tesla,Tesla,Model S (USA),2021,Panasonic Holdings Corporation (Formerly Panasonic Corporation),Lithium-ion battery cell,EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model S (USA),2021,Modine Manufacturing Company,Battery cooling chiller,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model S (USA),2021,"Marelli North America, Inc. - Shelbyville Plant (Formerly Calsonic Kansei North America, Inc.)",Battery cooling reservoir assembly,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model S (USA),2021,LG Electronics Inc.,Battery heater thermistor,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model S (USA),2021,"Blove Light Precision HK Co.,Ltd.",12V battery cabin bracket,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,"Blove Light Precision HK Co.,Ltd.",Battery rapid splitter top ring,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,Methode Power Solutions Group,High-voltage battery fuse box,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,"Plascore, Inc.",High-voltage battery liquid sealer gasket,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,"BizLink Technology, Inc.",High-voltage battery seal,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,R & E Automated Systems,Low-voltage rapid mate for high-voltage battery,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,NCS Pyrotechnie et Technologies SAS,Pyrotechnic safety switch,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model S (USA),2021,Quanta Computer Inc.,Charge inlet ECU,On-board Charger
Americas,Tesla,Tesla,Model S (USA),2021,Foxconn Interconnect Technology Limited,Charge port assembly,On-board Charger
Americas,Tesla,Tesla,Model S (USA),2021,"BizLink Technology, Inc.",Charging jumper adapter,On-board Charger
Americas,Tesla,Tesla,Model S (USA),2021,"BizLink Technology, Inc.",Onboard charger ground strap,On-board Charger
Americas,Tesla,Tesla,Model S (USA),2021,Tesla,Traction motor,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model S (USA),2021,NIFCO America Corporation,Traction motor cover release handle,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model S (USA),2021,"Pacific Rubber & Packing, Inc.",Traction motor O-ring,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model S (USA),2021,"ERIKS Seals and Plastics, Inc.",Traction motor O-ring,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model S (USA),2021,MANN+HUMMEL Purolator Filters LLC,Traction motor oil filter,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model S (USA),2021,"Littelfuse, Inc.",Traction motor sensor encoder,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model S (USA),2021,"ElringKlinger, S.A.U.",Gearbox seal,Transmission Seal
Americas,Tesla,Tesla,Model X (USA),2021,MANN+HUMMEL Purolator Filters LLC,Air filter,Air Cleaner / Air Filter
Americas,Tesla,Tesla,Model X (USA),2021,Freudenberg Filtration Technologies Inc.,Air filter,Air Cleaner / Air Filter
Americas,Tesla,Tesla,Model X (USA),2021,Quanta Computer Inc.,12V DC-DC converter ground strap,DC-DC Converter
Americas,Tesla,Tesla,Model X (USA),2021,NTN Bearing Corp. of America,Front half shaft,Drive Shaft
Americas,Tesla,Tesla,Model X (USA),2021,NTN Bearing Corp. of America,Rear half shaft,Drive Shaft
Americas,Tesla,Tesla,Model X (USA),2021,Panasonic Holdings Corporation (Formerly Panasonic Corporation),Lithium-ion battery cell (Cylindrical),EV / PHEV / HEV Battery Cell/Module
Americas,Tesla,Tesla,Model X (USA),2021,Modine Manufacturing Company,Battery cooling chiller,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model X (USA),2021,LG Electronics Inc.,Battery heater thermistor,EV / PHEV / HEV Battery Cooling/Heating System
Americas,Tesla,Tesla,Model X (USA),2021,"Blove Light Precision HK Co.,Ltd.",12V battery cabin bracket,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,"Blove Light Precision HK Co.,Ltd.",Battery rapid splitter top ring,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,Methode Power Solutions Group,Front high-voltage battery stack busbar,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,"Plascore, Inc.",High-voltage battery liquid sealer gasket,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,"BizLink Technology, Inc.",High-voltage battery seal,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,R & E Automated Systems,Low-voltage rapid mate for high-voltage battery,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,NCS Pyrotechnie et Technologies SAS,Pyrotechnic safety switch,EV / PHEV / HEV Battery Related Products
Americas,Tesla,Tesla,Model X (USA),2021,Foxconn Interconnect Technology Limited,Charge port assembly,On-board Charger
Americas,Tesla,Tesla,Model X (USA),2021,"Blove Light Precision HK Co.,Ltd.",Charger bracket,On-board Charger
Americas,Tesla,Tesla,Model X (USA),2021,Quanta Computer Inc.,Onboard charger ECU,On-board Charger
Americas,Tesla,Tesla,Model X (USA),2021,"ERIKS Seals and Plastics, Inc.",Traction motor O-ring,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model X (USA),2021,MANN+HUMMEL Purolator Filters LLC,Traction motor oil filter,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model X (USA),2021,"Littelfuse, Inc.",Traction motor sensor encoder,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model X (USA),2021,Nix of America,Traction motor underhood trim pin,Traction Motor / E-Axle
Americas,Tesla,Tesla,Model X (USA),2021,"ElringKlinger, S.A.U.",Gearbox seal,Transmission Seal
Europe,Tesla,Tesla,Model Y (Germany),2021,Euro Group S.p.A.,Motor core,Motor Core
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Ningbo Shanshan Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Shanghai Putailai New Energy Technology Co., Ltd. (Formerly Shanghai Putailai New material Technology Co., Ltd.)",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,"BTR New Material Group Co., Ltd.",Anode material for lithium-ion battery,Anode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Ningbo Xusheng Auto Technology Co., Ltd.",Transmission housing,Automatic Transmission (AT)
China,Tesla China,Tesla,Model Y (RR) (China),2021,Tesla,Battery management system (BMS),Battery Control ECU
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Suzhou Anjie Technology Co., Ltd.",BMS sensor assembly,Battery Control ECU
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Ningbo Ronbay New Energy Technology Co., Ltd. (Formerly Ningbo Jinhe Lithium Battery Co., Ltd.)",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Ningbo Shanshan Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Beijing Easpring Material Technology Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Hunan Brunp Recycling Technology Co., Ltd.",Cathode material for lithium-ion battery,Cathode Material for EV / PHEV / HEV Battery
China,Tesla China,Tesla,Model Y (RR) (China),2021,Tesla,DC-DC converter,DC-DC Converter
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Beijing WKW Automotive Parts Co., Ltd.",Lithium-ion battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2021,HUAYU Automotive Systems Company Limited,Lithium-ion battery tray,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Shenzhen Kedali Industry Co., Ltd.",NCA battery Case,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2021,"Shenzhen Kedali Industry Co., Ltd.",NCA battery cover,EV / PHEV / HEV Battery Case
China,Tesla China,Tesla,Model Y (RR) (China),2021,LG Energy Solution Ltd.,NMC lithium-ion battery cell (Cylinder),EV / PHEV / HEV Battery Cell/Module
China,Tesla China,Tesla,Model Y (RR) (China),2021,"CATL (Contemporary Amperex Technology Co., Ltd.)",Three-dimensional lithium-ion battery cell (Prismatic),EV / PHEV / HEV Battery Cell/Module
